Sat Dec 16 04:50:31 +0000 2017,"Lagos, Nigeria",,": Without Health for All, We Will Not End Poverty by We are at a critical turning poin"
Sat Dec 16 04:50:34 +0000 2017,"Miami, FL",,": / The resurgence of debtors prisons across US entraps poor people, too many of whom"
Sat Dec 16 04:50:34 +0000 2017,"Washington, USA",,: sitting in a mansion...and this poor kid abt to enter the
Sat Dec 16 04:50:35 +0000 2017,seattle,,IM SO SORRY TO EVERYONE WHO WILL WAKE UP WITH NOTIFS WHEN YOURE PLAYING HUNGER GAMES IT JUST BE LIKE THAT
Sat Dec 16 04:50:37 +0000 2017,Houston,,Hunger pangs?
Sat Dec 16 04:50:37 +0000 2017,Denial,,: hello poors I know u want jobs and healthcare but Im here to tell you theres a better way hear me out imagina
Sat Dec 16 04:50:38 +0000 2017,"Amsterdam, The Netherlands",,: Money was always a poor substitute for the synchronicity our collective unconscious. solves the legacy iss
Sat Dec 16 04:50:38 +0000 2017,South Africa,,": ""I'm gay and wanna be able to get married in peace...but I still hate poor people. ...I could also do without the"
Sat Dec 16 04:50:39 +0000 2017,"victoria, bc",,This is a mother fucking clear case of :hunger versus well fed. He's still the man. Iconic.
Sat Dec 16 04:50:41 +0000 2017,"Atlanta, GA",,": The truly rich have managed to pit the poor against the working class, the working class against the m"
Sat Dec 16 04:50:41 +0000 2017,Canada,,Point of View Numbskull...POTUS...Poor Omarosa...Guilty by Ass..o..ciation..? Blacklashed..?
Sat Dec 16 04:50:42 +0000 2017," 
",,: can yall stop actin like the internet made everyone antisocial. get off ur phone if u wanna connect physically but
Sat Dec 16 04:50:45 +0000 2017,Greensboro/Charlotte,,"Whew, I must be missing something there. Ketamine is basically the poor folk's version of MDMA/Bath Salts down here in NC."
Sat Dec 16 04:50:47 +0000 2017,"Maine, USA",,: Go out of donating to with raising $1M to end world hunger
Sat Dec 16 04:50:48 +0000 2017,"South Norwood, UK",,Imagination is a poor matter when it has to part company with understanding.
Sat Dec 16 04:50:48 +0000 2017, Politically Correct Australia,,"Poor old Santa, or any snow for that matter"
Sat Dec 16 04:50:51 +0000 2017,India,,: Bail-in using poor depositors' funds. What happens to borrowers and bank managements? Go scot free. Private profits
Sat Dec 16 04:50:54 +0000 2017,Atlanta GA ,,: FCC Makes Internet Harder for Poor People to Access | via TheDailyBeast
Sat Dec 16 04:50:59 +0000 2017,"Pittsburgh, PA",,THE POOR BABE AWE 0
Sat Dec 16 04:51:01 +0000 2017,"Bowmanville, On, Canada",,: FCC Makes Internet Harder for Poor People to Access | via TheDailyBeast
Sat Dec 16 04:51:04 +0000 2017,"Almere, Netherlands",,Assessing the impact of poor data on retail: The -10-100 rule 8 9
Sat Dec 16 04:51:06 +0000 2017,Philadelphia PA.,,: Why are black people poor? via
Sat Dec 16 04:51:06 +0000 2017,anywhere the wind blows,,It was never really about abortion. It's all about making sure the poor stay poor.
Sat Dec 16 04:51:07 +0000 2017,"Pennsylvania, USA",,Will be following up on this poor boys journey and plight. He arrived from the racetrack today from Mario... 9
Sat Dec 16 04:51:07 +0000 2017,England,,: Poor Iain didn't see all the whisperings behind his back though.... grrrr....
Sat Dec 16 04:51:07 +0000 2017,New York,,My friend with piss poor timing snapped this gem yesterday.
Sat Dec 16 04:51:08 +0000 2017,Indonesia,,": Rich Man, Poor Woman : Seorang CEO di perusahaan IT, Next One. Dia sombong dan tidak mudah percaya orang lain. Keku"
Sat Dec 16 04:51:09 +0000 2017,Anywhere But Here!!!,,: FCC Makes Internet Harder for Poor People to Access | via TheDailyBeast
Sat Dec 16 04:51:09 +0000 2017,"California, USA",,: Poor Tidus.
Sat Dec 16 04:51:09 +0000 2017,,Texas,: poor officer in El Paso Texas she is having a very busy nite lol!
Sat Dec 16 04:51:10 +0000 2017,At my function,,no fuck you this is literally your own fault. empty the tanks and stop fucking treating these poor endang
Sat Dec 16 04:51:11 +0000 2017,"New South Wales, Australia",,: WHO WILL PROTECT THE POOR LITTLE BUZZFEEDERS?
Sat Dec 16 04:51:12 +0000 2017,"Hampton, VA",,": Look folks, just because we hate Donald Trump, doesnt mean we like poor people!!! -Senators Jeff Flake and John"
Sat Dec 16 04:51:12 +0000 2017,"Madhya Pradesh, India",India,": With schemes like Jan Dhan Yojana, Skill India, BJP Guj has been working for empowerment of poor sections of society"
Sat Dec 16 04:51:13 +0000 2017,Zuunmod Mongolia,,"You're assuming the fiscally responsible States are impoverished. Alternative view, they cut back the fede"
Sat Dec 16 04:51:13 +0000 2017,Bellevue,,"Info: is known treating , , bites, , poor circulation and :"
Sat Dec 16 04:51:14 +0000 2017,Ontario,,I'm going with agenda and piss poor writing. U2
Sat Dec 16 04:51:16 +0000 2017,"Bronx, NY",,: Money was always a poor substitute for the synchronicity our collective unconscious. solves the legacy iss
Sat Dec 16 04:51:16 +0000 2017,"Morris, IL",,Roy needs to get on his horse & ride off into the sunset. Tho I do feel bad for the poor horse. Maybe he c
Sat Dec 16 04:51:17 +0000 2017,"California, USA",,I don't even know if my poor laptop can handle it
Sat Dec 16 04:51:19 +0000 2017,do not own content posted,,: rt if you're poor
Sat Dec 16 04:51:19 +0000 2017,"Oklahoma City, OK",,YOU DONT MAKE FUN OF THE FUTURE MVP LIKE THAT!!!!!!!! THE MAN MAKES UP FOR HIS POOR FREE THROW WITH BEI
Sat Dec 16 04:51:20 +0000 2017,Behind Enemy Lines Commie CA,,: So Much for Peace Between Arabs and Jews: The Arab Governments Won't Have It! Poor Iraqi Girl Thrown out of Country
Sat Dec 16 04:51:20 +0000 2017,New Delhi,Rajasthan,": Plz sign this petition to stop Rajasthan govt's inhuman act against Sri Shambhulal Regar's wife, a poor dalit woman"
Sat Dec 16 04:51:21 +0000 2017,"Seattle, WA ",,"My poor dad lol. His brothers, my mom and step mom never let it go lol. I still subconsciously say it too"
Sat Dec 16 04:51:24 +0000 2017,"Huddersfield, UK",,: Yet to see millions of British people die in a horrendous famine but sure
Sat Dec 16 04:51:24 +0000 2017,"San Diego, CA",,: hello poors I know u want jobs and healthcare but Im here to tell you theres a better way hear me out imagina
Sat Dec 16 04:51:24 +0000 2017,Kenya,,"Women are times more likely than men to report lack of skills as a barrier to Internet use, while one gigabyte"
Sat Dec 16 04:51:24 +0000 2017,Liverpool,,: hello poors I know u want jobs and healthcare but Im here to tell you theres a better way hear me out imagina
Sat Dec 16 04:51:25 +0000 2017,"California, USA",,: The pending tax bill is basically Republican piggery; another case of the rich man dancing while the poor man pays the ban
